Time,AI,AV
6.588280000000000136e+00,6.906729999999999642e-14,1.511970000000000027e-05
1.320320000000000071e+01,8.063540000000000546e-14,1.503609999999999992e-05
1.981820000000000093e+01,1.370040000000000087e-13,1.537060000000000154e-05
2.643440000000000012e+01,2.037129999999999823e-12,1.000080000000000080e+00
3.304919999999999902e+01,1.878120000000000079e-12,1.000080000000000080e+00
3.966409999999999769e+01,1.889480000000000144e-12,1.000080000000000080e+00
4.628029999999999688e+01,6.028559999999999911e-12,3.000500000000000167e+00
5.289520000000000266e+01,5.855040000000000061e-12,3.000490000000000101e+00
5.951010000000000133e+01,5.787740000000000136e-12,3.000490000000000101e+00
6.612500000000000000e+01,1.015150000000000011e-11,5.000560000000000116e+00
7.273980000000000246e+01,9.748889999999999266e-12,5.000560000000000116e+00
7.935479999999999734e+01,9.768659999999999292e-12,5.000549999999999606e+00
8.596959999999999980e+01,2.240890000000000158e-11,1.000089999999999968e+01
9.258450000000000557e+01,2.193349999999999979e-11,1.000089999999999968e+01
9.919939999999999714e+01,2.158139999999999849e-11,1.000089999999999968e+01
1.058649999999999949e+02,9.909569999999999830e-11,3.000179999999999936e+01
1.124779999999999944e+02,9.065889999999999854e-11,3.000169999999999959e+01
1.190919999999999987e+02,8.386299999999999516e-11,3.000169999999999959e+01
1.257060000000000031e+02,1.083840000000000002e-10,3.817029999999999745e+01
1.323199999999999932e+02,9.960529999999999362e-11,3.816899999999999693e+01
1.389339999999999975e+02,9.337850000000000485e-11,3.816870000000000118e+01
1.455490000000000066e+02,6.295679999999999605e-11,3.000179999999999936e+01
1.521639999999999873e+02,6.198309999999999506e-11,3.000179999999999936e+01
1.587789999999999964e+02,6.062210000000000358e-11,3.000179999999999936e+01
1.654439999999999884e+02,9.597869999999999371e-12,1.000089999999999968e+01
1.720589999999999975e+02,1.213299999999999929e-11,1.000089999999999968e+01
1.786740000000000066e+02,1.336470000000000019e-11,1.000089999999999968e+01
1.852889999999999873e+02,3.538040000000000139e-12,5.000549999999999606e+00
1.919039999999999964e+02,4.787619999999999748e-12,5.000549999999999606e+00
1.985190000000000055e+02,5.477499999999999632e-12,5.000549999999999606e+00
2.051339999999999861e+02,1.858560000000000110e-12,3.000500000000000167e+00
2.117489999999999952e+02,2.588609999999999811e-12,3.000490000000000101e+00
2.183629999999999995e+02,2.940919999999999953e-12,3.000490000000000101e+00
2.249799999999999898e+02,-8.395590000000000378e-13,1.000070000000000014e+00
2.315949999999999989e+02,-4.155339999999999841e-13,1.000070000000000014e+00
2.382100000000000080e+02,-1.084520000000000007e-13,1.000070000000000014e+00
2.448259999999999934e+02,-1.847009999999999821e-12,1.620699999999999916e-05
2.514410000000000025e+02,-1.474119999999999983e-12,1.566329999999999960e-05
2.580590000000000259e+02,-3.213440000000000088e-12,-1.000050000000000106e+00
2.646730000000000018e+02,-3.001440000000000184e-12,-1.000040000000000040e+00
2.712880000000000109e+02,-2.841389999999999871e-12,-1.000040000000000040e+00
2.779049999999999727e+02,-6.753049999999999786e-12,-2.999659999999999993e+00
2.845190000000000055e+02,-6.555779999999999759e-12,-2.999670000000000059e+00
2.911340000000000146e+02,-6.250400000000000105e-12,-2.999670000000000059e+00
2.977490000000000236e+02,-1.050280000000000004e-11,-4.999789999999999957e+00
3.043639999999999759e+02,-1.010170000000000006e-11,-4.999789999999999957e+00
3.109789999999999850e+02,-9.967739999999999692e-12,-4.999789999999999957e+00
3.175939999999999941e+02,-2.223950000000000111e-11,-9.999919999999999476e+00
3.242090000000000032e+02,-2.160049999999999949e-11,-9.999930000000000874e+00
3.308240000000000123e+02,-2.129830000000000104e-11,-9.999919999999999476e+00
3.374889999999999759e+02,-1.025190000000000029e-10,-3.000120000000000076e+01
3.441030000000000086e+02,-1.006640000000000000e-10,-3.000130000000000052e+01
3.507169999999999845e+02,-9.972029999999999788e-11,-3.000110000000000099e+01
3.573310000000000173e+02,-1.531080000000000104e-10,-3.799819999999999709e+01
3.639449999999999932e+02,-1.522229999999999923e-10,-3.799649999999999750e+01
3.705579999999999927e+02,-1.517529999999999928e-10,-3.799560000000000315e+01
3.771720000000000255e+02,-9.639439999999999647e-11,-3.000110000000000099e+01
3.837860000000000014e+02,-9.743290000000000017e-11,-3.000120000000000076e+01
3.904519999999999982e+02,-1.437739999999999971e-11,-9.999909999999999854e+00
3.970670000000000073e+02,-1.636790000000000016e-11,-9.999909999999999854e+00
4.036820000000000164e+02,-1.715490000000000155e-11,-9.999900000000000233e+00
4.102970000000000255e+02,-5.427849999999999737e-12,-4.999780000000000335e+00
4.169110000000000014e+02,-6.267860000000000315e-12,-4.999780000000000335e+00
4.235260000000000105e+02,-6.759570000000000045e-12,-4.999780000000000335e+00
4.301410000000000196e+02,-2.752630000000000157e-12,-2.999649999999999928e+00
4.367559999999999718e+02,-3.202919999999999846e-12,-2.999649999999999928e+00
4.433709999999999809e+02,-3.514400000000000050e-12,-2.999649999999999928e+00
4.499879999999999995e+02,3.302970000000000011e-13,-1.000040000000000040e+00
4.566030000000000086e+02,-4.051489999999999733e-14,-1.000040000000000040e+00
4.632180000000000177e+02,-7.311599999999999612e-14,-1.000040000000000040e+00
4.698340000000000032e+02,1.635400000000000080e-12,1.704329999999999994e-05
4.764490000000000123e+02,1.424009999999999907e-12,1.616509999999999876e-05
4.830640000000000214e+02,1.203589999999999923e-12,1.637419999999999986e-05
