Time,AI,AV
1.078899999999999998e-01,-1.934040000000000075e-10,-3.000110000000000099e+01
2.422120000000000106e-01,-1.629689999999999984e-10,-3.000110000000000099e+01
3.765390000000000126e-01,-1.508660000000000092e-10,-3.000110000000000099e+01
5.108580000000000343e-01,-1.427439999999999984e-10,-3.000120000000000076e+01
6.451630000000000420e-01,-1.365269999999999929e-10,-3.000110000000000099e+01
7.794489999999999474e-01,-1.315069999999999937e-10,-3.000110000000000099e+01
9.137819999999999832e-01,-1.273230000000000059e-10,-3.000110000000000099e+01
1.048130000000000006e+00,-1.241059999999999900e-10,-3.000110000000000099e+01
1.182430000000000092e+00,-1.213709999999999989e-10,-3.000120000000000076e+01
1.316759999999999931e+00,-1.190319999999999928e-10,-3.000120000000000076e+01
1.451060000000000016e+00,-1.171339999999999959e-10,-3.000120000000000076e+01
1.585339999999999971e+00,-1.152920000000000011e-10,-3.000110000000000099e+01
1.719689999999999941e+00,-1.139489999999999960e-10,-3.000110000000000099e+01
1.854000000000000092e+00,-1.129240000000000047e-10,-3.000110000000000099e+01
1.988329999999999931e+00,-1.119310000000000036e-10,-3.000110000000000099e+01
2.122679999999999900e+00,-1.110549999999999980e-10,-3.000110000000000099e+01
2.257019999999999804e+00,-1.104030000000000012e-10,-3.000110000000000099e+01
2.391360000000000152e+00,-1.097240000000000054e-10,-3.000120000000000076e+01
2.525679999999999925e+00,-1.091210000000000024e-10,-3.000110000000000099e+01
2.660000000000000142e+00,-1.087640000000000031e-10,-3.000110000000000099e+01
2.794360000000000177e+00,-1.083429999999999975e-10,-3.000110000000000099e+01
2.928690000000000015e+00,-1.079290000000000003e-10,-3.000110000000000099e+01
3.063009999999999788e+00,-1.075069999999999990e-10,-3.000110000000000099e+01
3.197350000000000136e+00,-1.073150000000000063e-10,-3.000110000000000099e+01
3.331669999999999909e+00,-1.070829999999999936e-10,-3.000120000000000076e+01
3.466019999999999879e+00,-1.066629999999999966e-10,-3.000110000000000099e+01
3.600369999999999848e+00,-1.065040000000000026e-10,-3.000110000000000099e+01
3.734690000000000065e+00,-1.064489999999999961e-10,-3.000100000000000122e+01
3.869019999999999904e+00,-1.061970000000000056e-10,-3.000110000000000099e+01
4.003359999999999808e+00,-1.061009999999999963e-10,-3.000110000000000099e+01
4.137669999999999959e+00,-1.060490000000000026e-10,-3.000110000000000099e+01
4.272029999999999994e+00,-1.058059999999999989e-10,-3.000120000000000076e+01
4.406349999999999767e+00,-1.056789999999999951e-10,-3.000110000000000099e+01
4.540689999999999671e+00,-1.056909999999999946e-10,-3.000110000000000099e+01
4.675040000000000084e+00,-1.053399999999999950e-10,-3.000110000000000099e+01
4.809370000000000367e+00,-1.053449999999999991e-10,-3.000110000000000099e+01
4.943719999999999892e+00,-1.052700000000000020e-10,-3.000110000000000099e+01
5.078090000000000437e+00,-1.052640000000000022e-10,-3.000110000000000099e+01
5.212439999999999962e+00,-1.053380000000000037e-10,-3.000120000000000076e+01
5.346790000000000376e+00,-1.050179999999999986e-10,-3.000120000000000076e+01
5.481119999999999770e+00,-1.051060000000000039e-10,-3.000110000000000099e+01
5.615420000000000300e+00,-1.049360000000000060e-10,-3.000110000000000099e+01
5.749749999999999694e+00,-1.049130000000000026e-10,-3.000110000000000099e+01
5.884079999999999977e+00,-1.048219999999999974e-10,-3.000110000000000099e+01
6.018390000000000128e+00,-1.049130000000000026e-10,-3.000110000000000099e+01
6.152739999999999654e+00,-1.048320000000000057e-10,-3.000110000000000099e+01
6.287040000000000184e+00,-1.046780000000000029e-10,-3.000120000000000076e+01
6.421369999999999578e+00,-1.047919999999999986e-10,-3.000110000000000099e+01
6.555710000000000370e+00,-1.046150000000000053e-10,-3.000120000000000076e+01
6.690010000000000012e+00,-1.046349999999999959e-10,-3.000110000000000099e+01
6.824360000000000426e+00,-1.046589999999999950e-10,-3.000120000000000076e+01
6.958700000000000330e+00,-1.043459999999999983e-10,-3.000110000000000099e+01
7.093020000000000103e+00,-1.043960000000000007e-10,-3.000120000000000076e+01
7.227389999999999759e+00,-1.042629999999999971e-10,-3.000120000000000076e+01
7.361720000000000041e+00,-1.043540000000000023e-10,-3.000110000000000099e+01
7.496050000000000324e+00,-1.041829999999999958e-10,-3.000110000000000099e+01
7.630390000000000228e+00,-1.042640000000000057e-10,-3.000110000000000099e+01
7.764689999999999870e+00,-1.041799999999999959e-10,-3.000120000000000076e+01
7.899029999999999774e+00,-1.042039999999999950e-10,-3.000110000000000099e+01
8.033400000000000318e+00,-1.040720000000000000e-10,-3.000110000000000099e+01
8.167699999999999960e+00,-1.041340000000000020e-10,-3.000120000000000076e+01
8.302080000000000126e+00,-1.040849999999999952e-10,-3.000110000000000099e+01
8.436420000000000030e+00,-1.041179999999999940e-10,-3.000110000000000099e+01
8.570750000000000313e+00,-1.039859999999999990e-10,-3.000110000000000099e+01
8.705120000000000857e+00,-1.040009999999999984e-10,-3.000110000000000099e+01
8.839439999999999742e+00,-1.040849999999999952e-10,-3.000110000000000099e+01
8.973770000000000024e+00,-1.039299999999999968e-10,-3.000110000000000099e+01
9.108140000000000569e+00,-1.041340000000000020e-10,-3.000110000000000099e+01
9.242440000000000211e+00,-1.039719999999999952e-10,-3.000110000000000099e+01
9.376770000000000493e+00,-1.039110000000000018e-10,-3.000110000000000099e+01
9.511070000000000135e+00,-1.039749999999999951e-10,-3.000110000000000099e+01
9.645390000000000796e+00,-1.039389999999999965e-10,-3.000110000000000099e+01
9.779759999999999565e+00,-1.039560000000000001e-10,-3.000120000000000076e+01
9.914099999999999469e+00,-1.038829999999999943e-10,-3.000120000000000076e+01
1.004840000000000089e+01,-1.038300000000000049e-10,-3.000120000000000076e+01
1.018280000000000030e+01,-1.039449999999999962e-10,-3.000120000000000076e+01
1.031709999999999994e+01,-1.038859999999999942e-10,-3.000110000000000099e+01
1.045139999999999958e+01,-1.036960000000000057e-10,-3.000110000000000099e+01
1.058580000000000076e+01,-1.036280000000000039e-10,-3.000110000000000099e+01
1.072010000000000041e+01,-1.039209999999999971e-10,-3.000100000000000122e+01
1.085440000000000005e+01,-1.036780000000000063e-10,-3.000120000000000076e+01
1.098879999999999946e+01,-1.036220000000000042e-10,-3.000110000000000099e+01
1.112310000000000088e+01,-1.036209999999999956e-10,-3.000110000000000099e+01
1.125740000000000052e+01,-1.035720000000000018e-10,-3.000110000000000099e+01
1.139179999999999993e+01,-1.034820000000000052e-10,-3.000110000000000099e+01
1.152609999999999957e+01,-1.033379999999999977e-10,-3.000100000000000122e+01
1.166050000000000075e+01,-1.034080000000000037e-10,-3.000110000000000099e+01
1.179480000000000040e+01,-1.034670000000000057e-10,-3.000110000000000099e+01
1.192910000000000004e+01,-1.036170000000000000e-10,-3.000110000000000099e+01
1.206349999999999945e+01,-1.035450000000000028e-10,-3.000110000000000099e+01
1.219780000000000086e+01,-1.033610000000000011e-10,-3.000110000000000099e+01
1.233210000000000051e+01,-1.034730000000000055e-10,-3.000110000000000099e+01
1.246640000000000015e+01,-1.032860000000000040e-10,-3.000110000000000099e+01
1.260079999999999956e+01,-1.034080000000000037e-10,-3.000110000000000099e+01
1.273520000000000074e+01,-1.033619999999999968e-10,-3.000120000000000076e+01
1.286950000000000038e+01,-1.031829999999999993e-10,-3.000120000000000076e+01
1.300380000000000003e+01,-1.033119999999999944e-10,-3.000110000000000099e+01
1.313809999999999967e+01,-1.034359999999999983e-10,-3.000110000000000099e+01
1.327250000000000085e+01,-1.034009999999999953e-10,-3.000110000000000099e+01
1.340680000000000049e+01,-1.032099999999999982e-10,-3.000110000000000099e+01
1.354110000000000014e+01,-1.031280000000000057e-10,-3.000110000000000099e+01
1.367539999999999978e+01,-1.030999999999999981e-10,-3.000110000000000099e+01
1.380979999999999919e+01,-1.032249999999999977e-10,-3.000120000000000076e+01
1.394420000000000037e+01,-1.033160000000000028e-10,-3.000110000000000099e+01
1.407850000000000001e+01,-1.033079999999999988e-10,-3.000110000000000099e+01
1.421289999999999942e+01,-1.030300000000000051e-10,-3.000110000000000099e+01
1.434720000000000084e+01,-1.030220000000000011e-10,-3.000110000000000099e+01
1.448150000000000048e+01,-1.030259999999999966e-10,-3.000110000000000099e+01
1.461589999999999989e+01,-1.030109999999999972e-10,-3.000110000000000099e+01
1.475019999999999953e+01,-1.031209999999999973e-10,-3.000120000000000076e+01
1.488449999999999918e+01,-1.031479999999999963e-10,-3.000120000000000076e+01
1.501890000000000036e+01,-1.031739999999999996e-10,-3.000120000000000076e+01
1.515320000000000000e+01,-1.030079999999999973e-10,-3.000110000000000099e+01
1.528759999999999941e+01,-1.030259999999999966e-10,-3.000110000000000099e+01
1.542190000000000083e+01,-1.029309999999999959e-10,-3.000110000000000099e+01
1.555620000000000047e+01,-1.031959999999999945e-10,-3.000110000000000099e+01
1.569059999999999988e+01,-1.030630000000000038e-10,-3.000120000000000076e+01
1.582489999999999952e+01,-1.028370000000000038e-10,-3.000120000000000076e+01
1.595930000000000071e+01,-1.028880000000000018e-10,-3.000110000000000099e+01
1.609359999999999857e+01,-1.028990000000000057e-10,-3.000110000000000099e+01
1.622790000000000177e+01,-1.029539999999999993e-10,-3.000110000000000099e+01
1.636230000000000118e+01,-1.027770000000000060e-10,-3.000110000000000099e+01
1.649660000000000082e+01,-1.028359999999999952e-10,-3.000110000000000099e+01
1.663090000000000046e+01,-1.028539999999999945e-10,-3.000110000000000099e+01
1.676520000000000010e+01,-1.028960000000000058e-10,-3.000120000000000076e+01
1.689949999999999974e+01,-1.027879999999999970e-10,-3.000110000000000099e+01
1.703379999999999939e+01,-1.029479999999999996e-10,-3.000120000000000076e+01
1.716819999999999879e+01,-1.027630000000000023e-10,-3.000110000000000099e+01
1.730249999999999844e+01,-1.027750000000000018e-10,-3.000110000000000099e+01
1.743680000000000163e+01,-1.026530000000000021e-10,-3.000110000000000099e+01
1.757110000000000127e+01,-1.027279999999999993e-10,-3.000110000000000099e+01
1.770540000000000092e+01,-1.027060000000000044e-10,-3.000120000000000076e+01
1.783980000000000032e+01,-1.028469999999999991e-10,-3.000110000000000099e+01
1.797409999999999997e+01,-1.027900000000000012e-10,-3.000110000000000099e+01
1.810839999999999961e+01,-1.026850000000000052e-10,-3.000110000000000099e+01
1.824269999999999925e+01,-1.026809999999999968e-10,-3.000110000000000099e+01
1.837699999999999889e+01,-1.026509999999999979e-10,-3.000110000000000099e+01
1.851139999999999830e+01,-1.027710000000000063e-10,-3.000120000000000076e+01
1.864570000000000149e+01,-1.026569999999999977e-10,-3.000120000000000076e+01
1.878000000000000114e+01,-1.026479999999999980e-10,-3.000120000000000076e+01
1.891440000000000055e+01,-1.028299999999999954e-10,-3.000110000000000099e+01
1.904870000000000019e+01,-1.025019999999999992e-10,-3.000110000000000099e+01
1.918299999999999983e+01,-1.025460000000000019e-10,-3.000100000000000122e+01
1.931729999999999947e+01,-1.024459999999999971e-10,-3.000110000000000099e+01
1.945159999999999911e+01,-1.025589999999999971e-10,-3.000120000000000076e+01
1.958589999999999876e+01,-1.024470000000000056e-10,-3.000120000000000076e+01
1.972019999999999840e+01,-1.024069999999999985e-10,-3.000120000000000076e+01
1.985460000000000136e+01,-1.026249999999999946e-10,-3.000110000000000099e+01
1.998890000000000100e+01,-1.024929999999999996e-10,-3.000120000000000076e+01
2.012320000000000064e+01,-1.024390000000000016e-10,-3.000110000000000099e+01
2.025750000000000028e+01,-1.025999999999999998e-10,-3.000110000000000099e+01
2.039189999999999969e+01,-1.025469999999999975e-10,-3.000110000000000099e+01
2.052619999999999933e+01,-1.025100000000000032e-10,-3.000120000000000076e+01
2.066049999999999898e+01,-1.024609999999999965e-10,-3.000120000000000076e+01
2.079479999999999862e+01,-1.025269999999999940e-10,-3.000120000000000076e+01
2.092920000000000158e+01,-1.025190000000000029e-10,-3.000110000000000099e+01
2.106350000000000122e+01,-1.024189999999999981e-10,-3.000110000000000099e+01
2.119780000000000086e+01,-1.022150000000000058e-10,-3.000110000000000099e+01
2.133210000000000051e+01,-1.023340000000000056e-10,-3.000120000000000076e+01
2.146649999999999991e+01,-1.022939999999999985e-10,-3.000120000000000076e+01
2.160079999999999956e+01,-1.023910000000000035e-10,-3.000120000000000076e+01
2.173509999999999920e+01,-1.023410000000000010e-10,-3.000110000000000099e+01
2.186939999999999884e+01,-1.024810000000000000e-10,-3.000100000000000122e+01
2.200369999999999848e+01,-1.024199999999999937e-10,-3.000110000000000099e+01
2.213800000000000168e+01,-1.023680000000000000e-10,-3.000110000000000099e+01
2.227230000000000132e+01,-1.023389999999999968e-10,-3.000110000000000099e+01
2.240670000000000073e+01,-1.023820000000000038e-10,-3.000110000000000099e+01
2.254100000000000037e+01,-1.023039999999999938e-10,-3.000110000000000099e+01
2.267530000000000001e+01,-1.021560000000000037e-10,-3.000110000000000099e+01
2.280959999999999965e+01,-1.022450000000000047e-10,-3.000110000000000099e+01
2.294389999999999930e+01,-1.022829999999999946e-10,-3.000110000000000099e+01
2.307829999999999870e+01,-1.021560000000000037e-10,-3.000120000000000076e+01
2.321259999999999835e+01,-1.020760000000000025e-10,-3.000120000000000076e+01
2.334690000000000154e+01,-1.022040000000000019e-10,-3.000110000000000099e+01
2.348120000000000118e+01,-1.021819999999999941e-10,-3.000120000000000076e+01
2.361550000000000082e+01,-1.021639999999999948e-10,-3.000120000000000076e+01
2.374980000000000047e+01,-1.020400000000000038e-10,-3.000110000000000099e+01
2.388419999999999987e+01,-1.020140000000000005e-10,-3.000110000000000099e+01
2.401849999999999952e+01,-1.020569999999999946e-10,-3.000120000000000076e+01
2.415279999999999916e+01,-1.022250000000000011e-10,-3.000120000000000076e+01
2.428709999999999880e+01,-1.020370000000000040e-10,-3.000110000000000099e+01
2.442150000000000176e+01,-1.019199999999999955e-10,-3.000120000000000076e+01
2.455580000000000140e+01,-1.019960000000000012e-10,-3.000110000000000099e+01
2.469000000000000128e+01,-1.019139999999999957e-10,-3.000120000000000076e+01
2.482440000000000069e+01,-1.019589999999999940e-10,-3.000110000000000099e+01
2.495870000000000033e+01,-1.020850000000000021e-10,-3.000110000000000099e+01
2.509299999999999997e+01,-1.021719999999999988e-10,-3.000110000000000099e+01
2.522739999999999938e+01,-1.020539999999999947e-10,-3.000120000000000076e+01
2.536169999999999902e+01,-1.021039999999999971e-10,-3.000120000000000076e+01
2.549599999999999866e+01,-1.022220000000000012e-10,-3.000110000000000099e+01
2.563029999999999831e+01,-1.017490000000000019e-10,-3.000110000000000099e+01
2.576460000000000150e+01,-1.018479999999999982e-10,-3.000110000000000099e+01
2.589900000000000091e+01,-1.017610000000000015e-10,-3.000120000000000076e+01
2.603330000000000055e+01,-1.017690000000000055e-10,-3.000120000000000076e+01
2.616769999999999996e+01,-1.017169999999999989e-10,-3.000120000000000076e+01
2.630199999999999960e+01,-1.019830000000000060e-10,-3.000110000000000099e+01
2.643629999999999924e+01,-1.017780000000000052e-10,-3.000110000000000099e+01
2.657059999999999889e+01,-1.018329999999999988e-10,-3.000120000000000076e+01
2.670489999999999853e+01,-1.018749999999999972e-10,-3.000110000000000099e+01
2.683920000000000172e+01,-1.019459999999999988e-10,-3.000120000000000076e+01
2.697360000000000113e+01,-1.018689999999999974e-10,-3.000110000000000099e+01
2.710790000000000077e+01,-1.017649999999999970e-10,-3.000110000000000099e+01
2.724220000000000041e+01,-1.019339999999999992e-10,-3.000110000000000099e+01
2.737650000000000006e+01,-1.018760000000000057e-10,-3.000110000000000099e+01
2.751079999999999970e+01,-1.018809999999999969e-10,-3.000120000000000076e+01
2.764509999999999934e+01,-1.018850000000000054e-10,-3.000120000000000076e+01
2.777949999999999875e+01,-1.018069999999999954e-10,-3.000110000000000099e+01
2.791379999999999839e+01,-1.018239999999999991e-10,-3.000120000000000076e+01
2.804810000000000159e+01,-1.017439999999999978e-10,-3.000110000000000099e+01
2.818250000000000099e+01,-1.017910000000000004e-10,-3.000120000000000076e+01
2.831680000000000064e+01,-1.016459999999999972e-10,-3.000120000000000076e+01
2.845110000000000028e+01,-1.015790000000000041e-10,-3.000120000000000076e+01
2.858539999999999992e+01,-1.016710000000000049e-10,-3.000120000000000076e+01
2.871969999999999956e+01,-1.014810000000000035e-10,-3.000110000000000099e+01
2.885399999999999920e+01,-1.014889999999999946e-10,-3.000120000000000076e+01
2.898839999999999861e+01,-1.014919999999999945e-10,-3.000110000000000099e+01
2.912269999999999825e+01,-1.015310000000000059e-10,-3.000120000000000076e+01
2.925700000000000145e+01,-1.015170000000000021e-10,-3.000120000000000076e+01
2.939130000000000109e+01,-1.015539999999999964e-10,-3.000120000000000076e+01
2.952560000000000073e+01,-1.017089999999999948e-10,-3.000120000000000076e+01
2.965990000000000038e+01,-1.016630000000000009e-10,-3.000110000000000099e+01
2.979429999999999978e+01,-1.015620000000000004e-10,-3.000110000000000099e+01
2.992859999999999943e+01,-1.014030000000000064e-10,-3.000120000000000076e+01
3.006289999999999907e+01,-1.014679999999999954e-10,-3.000110000000000099e+01
3.019719999999999871e+01,-1.014849999999999990e-10,-3.000120000000000076e+01
3.033149999999999835e+01,-1.015380000000000013e-10,-3.000110000000000099e+01
3.046580000000000155e+01,-1.013440000000000044e-10,-3.000110000000000099e+01
3.060010000000000119e+01,-1.015389999999999970e-10,-3.000110000000000099e+01
3.073450000000000060e+01,-1.014769999999999950e-10,-3.000110000000000099e+01
3.086880000000000024e+01,-1.015320000000000016e-10,-3.000110000000000099e+01
3.100309999999999988e+01,-1.014769999999999950e-10,-3.000120000000000076e+01
3.113739999999999952e+01,-1.015569999999999963e-10,-3.000120000000000076e+01
3.127169999999999916e+01,-1.015689999999999958e-10,-3.000120000000000076e+01
3.140599999999999881e+01,-1.014160000000000016e-10,-3.000110000000000099e+01
3.154040000000000177e+01,-1.015239999999999976e-10,-3.000110000000000099e+01
3.167470000000000141e+01,-1.014499999999999961e-10,-3.000110000000000099e+01
3.180900000000000105e+01,-1.015670000000000045e-10,-3.000110000000000099e+01
3.194330000000000069e+01,-1.013609999999999951e-10,-3.000120000000000076e+01
3.207759999999999678e+01,-1.012379999999999998e-10,-3.000120000000000076e+01
3.221189999999999998e+01,-1.013989999999999980e-10,-3.000120000000000076e+01
3.234629999999999939e+01,-1.014040000000000021e-10,-3.000110000000000099e+01
