Time,AI,AV
1.086659999999999987e-01,5.021450000000000015e-11,1.000099999999999945e+01
2.440009999999999957e-01,3.860789999999999910e-11,1.000099999999999945e+01
3.793349999999999778e-01,3.501670000000000043e-11,1.000099999999999945e+01
5.146650000000000391e-01,3.255710000000000150e-11,1.000099999999999945e+01
6.500340000000000007e-01,3.142889999999999990e-11,1.000099999999999945e+01
7.854160000000000030e-01,3.030740000000000150e-11,1.000099999999999945e+01
9.207699999999999774e-01,2.964459999999999992e-11,1.000099999999999945e+01
1.056130000000000013e+00,2.903569999999999996e-11,1.000099999999999945e+01
1.191510000000000069e+00,2.854940000000000031e-11,1.000099999999999945e+01
1.326880000000000059e+00,2.814320000000000149e-11,1.000099999999999945e+01
1.462220000000000075e+00,2.772490000000000034e-11,1.000099999999999945e+01
1.597599999999999909e+00,2.747459999999999927e-11,1.000099999999999945e+01
1.732949999999999990e+00,2.716060000000000041e-11,1.000099999999999945e+01
1.868300000000000072e+00,2.703270000000000052e-11,1.000099999999999945e+01
2.003629999999999800e+00,2.677100000000000053e-11,1.000099999999999945e+01
2.138999999999999790e+00,2.662510000000000133e-11,1.000099999999999945e+01
2.274369999999999781e+00,2.640569999999999845e-11,1.000099999999999945e+01
2.409710000000000019e+00,2.626010000000000117e-11,1.000099999999999945e+01
2.545069999999999943e+00,2.606330000000000023e-11,1.000099999999999945e+01
2.680439999999999934e+00,2.600310000000000014e-11,1.000099999999999945e+01
2.815789999999999793e+00,2.582370000000000113e-11,1.000099999999999945e+01
2.951119999999999965e+00,2.580010000000000030e-11,1.000099999999999945e+01
3.086430000000000007e+00,2.556520000000000016e-11,1.000099999999999945e+01
3.221779999999999866e+00,2.547060000000000095e-11,1.000099999999999945e+01
3.357120000000000104e+00,2.542489999999999923e-11,1.000099999999999945e+01
3.492440000000000211e+00,2.535820000000000155e-11,1.000099999999999945e+01
3.627800000000000136e+00,2.525050000000000111e-11,1.000099999999999945e+01
3.763160000000000061e+00,2.516159999999999974e-11,1.000099999999999945e+01
3.898480000000000167e+00,2.516280000000000098e-11,1.000099999999999945e+01
4.033830000000000027e+00,2.506610000000000120e-11,1.000099999999999945e+01
4.169179999999999886e+00,2.512389999999999880e-11,1.000099999999999945e+01
4.304529999999999745e+00,2.499020000000000150e-11,1.000099999999999945e+01
4.439869999999999983e+00,2.499540000000000152e-11,1.000099999999999945e+01
4.575210000000000221e+00,2.493499999999999907e-11,1.000099999999999945e+01
4.710539999999999949e+00,2.488349999999999994e-11,1.000099999999999945e+01
4.845889999999999809e+00,2.472580000000000032e-11,1.000099999999999945e+01
4.981250000000000178e+00,2.466749999999999844e-11,1.000099999999999945e+01
5.116590000000000416e+00,2.482310000000000073e-11,1.000099999999999945e+01
5.251940000000000275e+00,2.471230000000000083e-11,1.000099999999999945e+01
5.387290000000000134e+00,2.463699999999999852e-11,1.000099999999999945e+01
5.522610000000000241e+00,2.466429999999999942e-11,1.000099999999999945e+01
5.657949999999999591e+00,2.456440000000000063e-11,1.000099999999999945e+01
5.793289999999999829e+00,2.453579999999999891e-11,1.000099999999999945e+01
5.928630000000000067e+00,2.439200000000000027e-11,1.000099999999999945e+01
6.063970000000000304e+00,2.454319999999999906e-11,1.000099999999999945e+01
6.199300000000000033e+00,2.453160000000000101e-11,1.000099999999999945e+01
6.334609999999999630e+00,2.449060000000000149e-11,1.000099999999999945e+01
6.469969999999999999e+00,2.443989999999999888e-11,1.000099999999999945e+01
6.605319999999999858e+00,2.445720000000000124e-11,1.000099999999999945e+01
6.740630000000000344e+00,2.418650000000000160e-11,1.000099999999999945e+01
6.875969999999999693e+00,2.433879999999999884e-11,1.000099999999999945e+01
7.011309999999999931e+00,2.436039999999999867e-11,1.000099999999999945e+01
7.146630000000000038e+00,2.424770000000000057e-11,1.000099999999999945e+01
7.281970000000000276e+00,2.440189999999999925e-11,1.000099999999999945e+01
7.417309999999999626e+00,2.419430000000000001e-11,1.000099999999999945e+01
7.552640000000000242e+00,2.427080000000000034e-11,1.000099999999999945e+01
7.687999999999999723e+00,2.411349999999999898e-11,1.000099999999999945e+01
7.823330000000000339e+00,2.419239999999999858e-11,1.000099999999999945e+01
