Time,AI,AV
1.087430000000000063e-01,1.146830000000000072e-12,1.000070000000000014e+00
2.440980000000000094e-01,1.431219999999999934e-13,1.000070000000000014e+00
3.794779999999999820e-01,-3.824999999999999857e-13,1.000070000000000014e+00
5.148509999999999476e-01,-4.714700000000000095e-13,1.000070000000000014e+00
6.502179999999999627e-01,-6.401569999999999551e-13,1.000070000000000014e+00
7.856060000000000265e-01,-7.085150000000000360e-13,1.000070000000000014e+00
9.209859999999999713e-01,-8.035860000000000254e-13,1.000070000000000014e+00
1.056349999999999900e+00,-8.912949999999999902e-13,1.000070000000000014e+00
1.191699999999999982e+00,-9.853130000000000850e-13,1.000070000000000014e+00
1.327090000000000103e+00,-1.067760000000000087e-12,1.000070000000000014e+00
1.462439999999999962e+00,-1.144110000000000060e-12,1.000070000000000014e+00
1.597779999999999978e+00,-1.194590000000000063e-12,1.000070000000000014e+00
1.733160000000000034e+00,-1.213950000000000093e-12,1.000070000000000014e+00
1.868530000000000024e+00,-1.123289999999999952e-12,1.000070000000000014e+00
2.003890000000000171e+00,-1.108780000000000047e-12,1.000070000000000014e+00
2.139279999999999848e+00,-1.192699999999999956e-12,1.000070000000000014e+00
2.274680000000000035e+00,-1.166829999999999987e-12,1.000070000000000014e+00
2.410070000000000157e+00,-1.041889999999999915e-12,1.000070000000000014e+00
2.545440000000000147e+00,-1.091950000000000007e-12,1.000070000000000014e+00
2.680839999999999890e+00,-1.209110000000000085e-12,1.000070000000000014e+00
2.816199999999999815e+00,-1.114669999999999935e-12,1.000070000000000014e+00
2.951550000000000118e+00,-1.112780000000000030e-12,1.000070000000000014e+00
3.086920000000000108e+00,-1.039580000000000100e-12,1.000070000000000014e+00
3.222300000000000164e+00,-1.108780000000000047e-12,1.000070000000000014e+00
3.357660000000000089e+00,-1.080589999999999942e-12,1.000070000000000014e+00
3.493050000000000210e+00,-1.150420000000000060e-12,1.000070000000000014e+00
3.628429999999999822e+00,-1.223409999999999934e-12,1.000070000000000014e+00
3.763780000000000125e+00,-9.594419999999999421e-13,1.000070000000000014e+00
3.899150000000000116e+00,-1.021070000000000010e-12,1.000070000000000014e+00
4.034539999999999793e+00,-1.049249999999999997e-12,1.000070000000000014e+00
4.169900000000000162e+00,-9.888890000000000689e-13,1.000070000000000014e+00
4.305270000000000152e+00,-1.046729999999999923e-12,1.000070000000000014e+00
4.440660000000000274e+00,-1.051779999999999987e-12,1.000070000000000014e+00
4.576030000000000264e+00,-1.173769999999999955e-12,1.000070000000000014e+00
4.711389999999999745e+00,-1.098049999999999951e-12,1.000070000000000014e+00
4.846770000000000245e+00,-1.149369999999999979e-12,1.000070000000000014e+00
4.982149999999999856e+00,-1.037479999999999937e-12,1.000070000000000014e+00
5.117519999999999847e+00,-1.037900000000000051e-12,1.000070000000000014e+00
5.252869999999999706e+00,-1.052409999999999955e-12,1.000070000000000014e+00
5.388230000000000075e+00,-1.029269999999999915e-12,1.000070000000000014e+00
5.523629999999999818e+00,-9.682759999999999022e-13,1.000070000000000014e+00
5.658990000000000187e+00,-1.053249999999999980e-12,1.000070000000000014e+00
5.794389999999999930e+00,-1.035370000000000060e-12,1.000070000000000014e+00
5.929750000000000298e+00,-9.438780000000000702e-13,1.000070000000000014e+00
6.065070000000000405e+00,-1.114879999999999991e-12,1.000070000000000014e+00
6.200429999999999886e+00,-9.369369999999999284e-13,1.000070000000000014e+00
6.335779999999999745e+00,-9.316789999999999522e-13,1.000070000000000014e+00
6.471140000000000114e+00,-1.012030000000000081e-12,1.000070000000000014e+00
6.606510000000000105e+00,-9.981439999999999119e-13,1.000070000000000014e+00
6.741880000000000095e+00,-9.348330000000000820e-13,1.000070000000000014e+00
6.877229999999999954e+00,-9.981439999999999119e-13,1.000070000000000014e+00
7.012609999999999566e+00,-9.602839999999999096e-13,1.000070000000000014e+00
7.147990000000000066e+00,-1.069869999999999964e-12,1.000070000000000014e+00
7.283339999999999925e+00,-1.121819999999999960e-12,1.000070000000000014e+00
7.418709999999999916e+00,-9.750069999999999873e-13,1.000070000000000014e+00
7.554079999999999906e+00,-1.042729999999999940e-12,1.000070000000000014e+00
7.689460000000000406e+00,-1.049249999999999997e-12,1.000070000000000014e+00
7.824810000000000265e+00,-1.042729999999999940e-12,1.000070000000000014e+00
7.960200000000000387e+00,-9.651210000000000030e-13,1.000070000000000014e+00
8.095570000000000377e+00,-1.105199999999999976e-12,1.000070000000000014e+00
8.230900000000000105e+00,-1.004660000000000083e-12,1.000070000000000014e+00
8.366270000000000095e+00,-9.558669999999999295e-13,1.000070000000000014e+00
8.501640000000000086e+00,-9.346230000000000253e-13,1.000070000000000014e+00
8.636979999999999436e+00,-7.892829999999999600e-13,1.000070000000000014e+00
8.772330000000000183e+00,-8.528040000000000485e-13,1.000070000000000014e+00
8.907700000000000173e+00,-7.888630000000000486e-13,1.000070000000000014e+00
9.043070000000000164e+00,-8.231469999999999660e-13,1.000070000000000014e+00
9.178459999999999397e+00,-7.909660000000000246e-13,1.000070000000000014e+00
9.313840000000000785e+00,-8.065299999999999975e-13,1.000070000000000014e+00
9.449230000000000018e+00,-8.963430000000000107e-13,1.000070000000000014e+00
9.584580000000000766e+00,-8.189400000000000425e-13,1.000070000000000014e+00
9.719960000000000377e+00,-8.483869999999999675e-13,1.000070000000000014e+00
9.855349999999999611e+00,-9.365160000000000456e-13,1.000070000000000014e+00
