Time,AI,AV
1.088110000000000049e-01,5.179350000000000059e-11,1.240070000000000050e+01
2.441550000000000109e-01,3.937790000000000006e-11,1.240070000000000050e+01
3.794830000000000148e-01,3.539469999999999902e-11,1.240070000000000050e+01
5.148070000000000146e-01,3.318470000000000096e-11,1.240070000000000050e+01
6.501759999999999762e-01,3.169849999999999786e-11,1.240070000000000050e+01
7.855269999999999753e-01,3.075460000000000307e-11,1.240070000000000050e+01
9.208279999999999799e-01,2.999319999999999704e-11,1.240070000000000050e+01
1.056170000000000053e+00,2.955040000000000220e-11,1.240070000000000050e+01
1.191489999999999938e+00,2.890129999999999924e-11,1.240070000000000050e+01
1.326829999999999954e+00,2.848339999999999958e-11,1.240070000000000050e+01
1.462190000000000101e+00,2.801419999999999992e-11,1.240070000000000050e+01
1.597520000000000051e+00,2.761480000000000063e-11,1.240070000000000050e+01
1.732860000000000067e+00,2.742610000000000003e-11,1.240070000000000050e+01
1.868219999999999992e+00,2.719980000000000129e-11,1.240070000000000050e+01
2.003540000000000099e+00,2.710620000000000096e-11,1.240070000000000050e+01
2.138879999999999892e+00,2.668190000000000003e-11,1.240080000000000027e+01
2.274249999999999883e+00,2.657830000000000116e-11,1.240070000000000050e+01
2.409580000000000055e+00,2.624189999999999949e-11,1.240070000000000050e+01
2.544919999999999849e+00,2.614829999999999916e-11,1.240070000000000050e+01
2.680280000000000218e+00,2.609619999999999941e-11,1.240070000000000050e+01
2.815609999999999946e+00,2.591699999999999953e-11,1.240070000000000050e+01
2.950940000000000119e+00,2.577100000000000076e-11,1.240070000000000050e+01
3.086320000000000174e+00,2.564939999999999934e-11,1.240070000000000050e+01
3.221639999999999837e+00,2.551989999999999994e-11,1.240070000000000050e+01
3.356980000000000075e+00,2.544439999999999849e-11,1.240070000000000050e+01
3.492350000000000065e+00,2.538019999999999963e-11,1.240070000000000050e+01
3.627670000000000172e+00,2.521169999999999848e-11,1.240070000000000050e+01
3.763020000000000032e+00,2.503669999999999973e-11,1.240070000000000050e+01
3.898379999999999956e+00,2.498709999999999882e-11,1.240070000000000050e+01
4.033699999999999619e+00,2.484030000000000029e-11,1.240070000000000050e+01
4.169030000000000236e+00,2.492210000000000020e-11,1.240070000000000050e+01
4.304409999999999847e+00,2.483609999999999916e-11,1.240070000000000050e+01
4.439759999999999707e+00,2.468780000000000069e-11,1.240070000000000050e+01
4.575090000000000323e+00,2.471370000000000121e-11,1.240070000000000050e+01
4.710440000000000182e+00,2.464129999999999922e-11,1.240070000000000050e+01
4.845790000000000042e+00,2.448710000000000054e-11,1.240070000000000050e+01
4.981110000000000149e+00,2.445999999999999877e-11,1.240070000000000050e+01
5.116469999999999629e+00,2.445409999999999856e-11,1.240070000000000050e+01
5.251789999999999736e+00,2.448420000000000022e-11,1.240070000000000050e+01
5.387100000000000222e+00,2.418319999999999979e-11,1.240070000000000050e+01
5.522420000000000329e+00,2.423050000000000101e-11,1.240070000000000050e+01
5.657740000000000435e+00,2.420070000000000128e-11,1.240070000000000050e+01
5.793070000000000164e+00,2.415040000000000017e-11,1.240070000000000050e+01
5.928420000000000023e+00,2.413320000000000061e-11,1.240070000000000050e+01
6.063740000000000130e+00,2.412099999999999870e-11,1.240070000000000050e+01
6.199049999999999727e+00,2.399250000000000142e-11,1.240070000000000050e+01
6.334340000000000082e+00,2.400990000000000011e-11,1.240070000000000050e+01
6.469640000000000057e+00,2.404189999999999997e-11,1.240070000000000050e+01
6.604960000000000164e+00,2.406799999999999963e-11,1.240070000000000050e+01
6.740269999999999762e+00,2.387699999999999933e-11,1.240070000000000050e+01
6.875569999999999737e+00,2.403410000000000156e-11,1.240070000000000050e+01
7.010889999999999844e+00,2.396870000000000146e-11,1.240070000000000050e+01
7.146189999999999820e+00,2.385779999999999877e-11,1.240070000000000050e+01
7.281509999999999927e+00,2.387820000000000058e-11,1.240070000000000050e+01
7.416830000000000034e+00,2.379100000000000152e-11,1.240070000000000050e+01
7.552120000000000388e+00,2.376259999999999893e-11,1.240070000000000050e+01
7.687439999999999607e+00,2.371400000000000013e-11,1.240070000000000050e+01
7.822770000000000223e+00,2.359280000000000020e-11,1.240070000000000050e+01
7.958059999999999690e+00,2.367380000000000036e-11,1.240070000000000050e+01
8.093379999999999797e+00,2.374450000000000005e-11,1.240070000000000050e+01
8.228690000000000282e+00,2.370959999999999987e-11,1.240070000000000050e+01
8.364000000000000767e+00,2.366620000000000108e-11,1.240070000000000050e+01
8.499330000000000496e+00,2.348889999999999940e-11,1.240070000000000050e+01
8.634639999999999205e+00,2.356759999999999987e-11,1.240070000000000050e+01
8.769959999999999312e+00,2.361870000000000073e-11,1.240070000000000050e+01
8.905279999999999418e+00,2.363890000000000018e-11,1.240070000000000050e+01
9.040570000000000661e+00,2.357729999999999971e-11,1.240070000000000050e+01
9.175900000000000389e+00,2.358460000000000030e-11,1.240070000000000050e+01
9.311210000000000875e+00,2.358839999999999994e-11,1.240070000000000050e+01
9.446519999999999584e+00,2.349750000000000080e-11,1.240070000000000050e+01
9.581870000000000331e+00,2.336019999999999976e-11,1.240070000000000050e+01
9.717200000000000060e+00,2.343039999999999839e-11,1.240070000000000050e+01
9.852510000000000545e+00,2.341759999999999909e-11,1.240070000000000050e+01
9.987859999999999516e+00,2.339780000000000113e-11,1.240070000000000050e+01
1.012320000000000064e+01,2.338900000000000061e-11,1.240070000000000050e+01
1.025849999999999973e+01,2.339110000000000117e-11,1.240070000000000050e+01
1.039380000000000059e+01,2.336970000000000048e-11,1.240070000000000050e+01
1.052909999999999968e+01,2.343070000000000032e-11,1.240070000000000050e+01
1.066440000000000055e+01,2.327000000000000081e-11,1.240070000000000050e+01
1.079979999999999940e+01,2.337640000000000044e-11,1.240070000000000050e+01
1.093500000000000050e+01,2.326069999999999922e-11,1.240070000000000050e+01
1.107039999999999935e+01,2.326720000000000005e-11,1.240070000000000050e+01
1.120570000000000022e+01,2.325859999999999866e-11,1.240070000000000050e+01
1.134099999999999930e+01,2.328130000000000017e-11,1.240070000000000050e+01
1.147639999999999993e+01,2.330110000000000135e-11,1.240070000000000050e+01
1.161170000000000080e+01,2.330739999999999982e-11,1.240070000000000050e+01
1.174699999999999989e+01,2.319950000000000025e-11,1.240070000000000050e+01
1.188230000000000075e+01,2.324830000000000142e-11,1.240070000000000050e+01
1.201769999999999960e+01,2.323720000000000119e-11,1.240070000000000050e+01
1.215300000000000047e+01,2.321650000000000068e-11,1.240070000000000050e+01
1.228829999999999956e+01,2.315529999999999848e-11,1.240070000000000050e+01
1.242360000000000042e+01,2.317449999999999905e-11,1.240070000000000050e+01
1.255889999999999951e+01,2.320729999999999866e-11,1.240070000000000050e+01
1.269430000000000014e+01,2.303420000000000135e-11,1.240070000000000050e+01
1.282959999999999923e+01,2.323989999999999915e-11,1.240070000000000050e+01
1.296490000000000009e+01,2.317470000000000141e-11,1.240070000000000050e+01
1.310019999999999918e+01,2.307750000000000057e-11,1.240070000000000050e+01
1.323550000000000004e+01,2.309080000000000093e-11,1.240070000000000050e+01
1.337079999999999913e+01,2.314590000000000056e-11,1.240070000000000050e+01
1.350609999999999999e+01,2.301319999999999892e-11,1.240070000000000050e+01
1.364150000000000063e+01,2.304830000000000146e-11,1.240070000000000050e+01
1.377679999999999971e+01,2.304719999999999978e-11,1.240070000000000050e+01
1.391210000000000058e+01,2.294839999999999943e-11,1.240070000000000050e+01
1.404749999999999943e+01,2.290969999999999961e-11,1.240070000000000050e+01
1.418280000000000030e+01,2.302579999999999908e-11,1.240070000000000050e+01
1.431809999999999938e+01,2.291010000000000110e-11,1.240070000000000050e+01
1.445350000000000001e+01,2.312819999999999994e-11,1.240070000000000050e+01
1.458880000000000088e+01,2.316000000000000067e-11,1.240070000000000050e+01
1.472409999999999997e+01,2.305080000000000029e-11,1.240070000000000050e+01
1.485950000000000060e+01,2.293359999999999913e-11,1.240070000000000050e+01
1.499479999999999968e+01,2.295190000000000038e-11,1.240070000000000050e+01
1.513010000000000055e+01,2.303120000000000146e-11,1.240070000000000050e+01
1.526539999999999964e+01,2.301860000000000130e-11,1.240070000000000050e+01
1.540070000000000050e+01,2.299319999999999860e-11,1.240070000000000050e+01
1.553599999999999959e+01,2.299819999999999948e-11,1.240070000000000050e+01
1.567140000000000022e+01,2.290630000000000146e-11,1.240070000000000050e+01
1.580669999999999931e+01,2.299510000000000003e-11,1.240070000000000050e+01
1.594200000000000017e+01,2.285900000000000024e-11,1.240070000000000050e+01
1.607740000000000080e+01,2.291259999999999993e-11,1.240070000000000050e+01
1.621270000000000167e+01,2.284219999999999894e-11,1.240070000000000050e+01
1.634799999999999898e+01,2.286910000000000158e-11,1.240070000000000050e+01
1.648329999999999984e+01,2.290650000000000059e-11,1.240070000000000050e+01
1.661870000000000047e+01,2.290650000000000059e-11,1.240070000000000050e+01
1.675400000000000134e+01,2.275840000000000125e-11,1.240070000000000050e+01
1.688929999999999865e+01,2.294329999999999898e-11,1.240070000000000050e+01
1.702459999999999951e+01,2.278199999999999885e-11,1.240070000000000050e+01
1.716000000000000014e+01,2.302719999999999946e-11,1.240070000000000050e+01
1.729530000000000101e+01,2.287160000000000041e-11,1.240070000000000050e+01
1.743059999999999832e+01,2.289409999999999955e-11,1.240070000000000050e+01
1.756589999999999918e+01,2.274750000000000016e-11,1.240070000000000050e+01
1.770120000000000005e+01,2.276619999999999967e-11,1.240070000000000050e+01
1.783650000000000091e+01,2.285370000000000066e-11,1.240070000000000050e+01
1.797190000000000154e+01,2.281120000000000119e-11,1.240070000000000050e+01
1.810719999999999885e+01,2.278729999999999843e-11,1.240070000000000050e+01
1.824249999999999972e+01,2.279340000000000100e-11,1.240070000000000050e+01
1.837790000000000035e+01,2.270249999999999863e-11,1.240070000000000050e+01
1.851320000000000121e+01,2.280300000000000129e-11,1.240070000000000050e+01
1.864849999999999852e+01,2.273990000000000088e-11,1.240070000000000050e+01
1.878379999999999939e+01,2.277170000000000161e-11,1.240070000000000050e+01
1.891910000000000025e+01,2.263309999999999976e-11,1.240070000000000050e+01
1.905450000000000088e+01,2.281650000000000077e-11,1.240070000000000050e+01
1.918980000000000175e+01,2.276789999999999874e-11,1.240070000000000050e+01
1.932509999999999906e+01,2.270880000000000033e-11,1.240070000000000050e+01
1.946049999999999969e+01,2.284219999999999894e-11,1.240070000000000050e+01
1.959580000000000055e+01,2.269199999999999903e-11,1.240070000000000050e+01
1.973120000000000118e+01,2.262930000000000012e-11,1.240070000000000050e+01
1.986649999999999849e+01,2.277089999999999863e-11,1.240070000000000050e+01
2.000179999999999936e+01,2.265849999999999923e-11,1.240070000000000050e+01
2.013710000000000022e+01,2.259880000000000020e-11,1.240070000000000050e+01
2.027250000000000085e+01,2.255799999999999981e-11,1.240080000000000027e+01
2.040780000000000172e+01,2.268899999999999915e-11,1.240070000000000050e+01
2.054309999999999903e+01,2.277969999999999915e-11,1.240080000000000027e+01
2.067839999999999989e+01,2.264990000000000106e-11,1.240080000000000027e+01
2.081380000000000052e+01,2.270099999999999869e-11,1.240080000000000027e+01
2.094910000000000139e+01,2.274060000000000107e-11,1.240070000000000050e+01
2.108439999999999870e+01,2.267580000000000159e-11,1.240070000000000050e+01
2.121969999999999956e+01,2.266509999999999962e-11,1.240070000000000050e+01
2.135500000000000043e+01,2.256639999999999884e-11,1.240080000000000027e+01
2.149040000000000106e+01,2.263769999999999915e-11,1.240080000000000027e+01
2.162569999999999837e+01,2.259800000000000044e-11,1.240080000000000027e+01
2.176099999999999923e+01,2.267259999999999934e-11,1.240080000000000027e+01
2.189630000000000010e+01,2.269240000000000052e-11,1.240070000000000050e+01
2.203160000000000096e+01,2.259379999999999931e-11,1.240070000000000050e+01
2.216689999999999827e+01,2.256049999999999863e-11,1.240070000000000050e+01
2.230229999999999890e+01,2.252140000000000055e-11,1.240070000000000050e+01
2.243759999999999977e+01,2.261040000000000148e-11,1.240070000000000050e+01
2.257290000000000063e+01,2.247090000000000031e-11,1.240080000000000027e+01
2.270820000000000149e+01,2.255550000000000098e-11,1.240070000000000050e+01
2.284349999999999881e+01,2.250630000000000155e-11,1.240070000000000050e+01
2.297879999999999967e+01,2.250599999999999962e-11,1.240070000000000050e+01
2.311410000000000053e+01,2.252409999999999851e-11,1.240070000000000050e+01
2.324950000000000117e+01,2.261040000000000148e-11,1.240070000000000050e+01
2.338479999999999848e+01,2.264969999999999870e-11,1.240070000000000050e+01
2.352009999999999934e+01,2.269620000000000017e-11,1.240080000000000027e+01
2.365549999999999997e+01,2.264260000000000047e-11,1.240070000000000050e+01
2.379080000000000084e+01,2.258910000000000035e-11,1.240070000000000050e+01
2.392610000000000170e+01,2.254979999999999990e-11,1.240070000000000050e+01
2.406139999999999901e+01,2.247489999999999908e-11,1.240070000000000050e+01
2.419679999999999964e+01,2.246630000000000091e-11,1.240070000000000050e+01
2.433200000000000074e+01,2.247980000000000040e-11,1.240070000000000050e+01
2.446740000000000137e+01,2.255340000000000041e-11,1.240070000000000050e+01
2.460269999999999868e+01,2.250899999999999951e-11,1.240070000000000050e+01
2.473799999999999955e+01,2.256639999999999884e-11,1.240070000000000050e+01
2.487340000000000018e+01,2.248880000000000006e-11,1.240070000000000050e+01
2.500870000000000104e+01,2.265329999999999921e-11,1.240070000000000050e+01
2.514399999999999835e+01,2.258300000000000101e-11,1.240070000000000050e+01
2.527929999999999922e+01,2.262889999999999862e-11,1.240070000000000050e+01
2.541460000000000008e+01,2.258929999999999948e-11,1.240070000000000050e+01
2.555000000000000071e+01,2.242250000000000063e-11,1.240070000000000050e+01
2.568519999999999825e+01,2.261769999999999883e-11,1.240080000000000027e+01
2.582049999999999912e+01,2.260129999999999902e-11,1.240080000000000027e+01
2.595589999999999975e+01,2.266690000000000149e-11,1.240070000000000050e+01
2.609120000000000061e+01,2.266299999999999905e-11,1.240070000000000050e+01
2.622650000000000148e+01,2.256619999999999971e-11,1.240070000000000050e+01
2.636179999999999879e+01,2.266780000000000081e-11,1.240070000000000050e+01
2.649719999999999942e+01,2.260450000000000127e-11,1.240070000000000050e+01
2.663250000000000028e+01,2.258489999999999922e-11,1.240070000000000050e+01
2.676790000000000092e+01,2.253569999999999979e-11,1.240070000000000050e+01
2.690319999999999823e+01,2.266509999999999962e-11,1.240070000000000050e+01
