AI,AV
-1.65E-09,-3.00E+01
-1.53E-09,-2.95E+01
-1.44E-09,-2.90E+01
-1.36E-09,-2.85E+01
-1.30E-09,-2.80E+01
-1.23E-09,-2.75E+01
-1.17E-09,-2.70E+01
-1.13E-09,-2.65E+01
-1.07E-09,-2.60E+01
-1.02E-09,-2.55E+01
-9.89E-10,-2.50E+01
-9.44E-10,-2.45E+01
-9.04E-10,-2.40E+01
-8.76E-10,-2.35E+01
-8.40E-10,-2.30E+01
-8.15E-10,-2.25E+01
-7.68E-10,-2.20E+01
-7.44E-10,-2.15E+01
-7.09E-10,-2.10E+01
-6.93E-10,-2.05E+01
-6.52E-10,-2.00E+01
-6.31E-10,-1.95E+01
-6.17E-10,-1.90E+01
-5.77E-10,-1.85E+01
-5.66E-10,-1.80E+01
-5.34E-10,-1.75E+01
-5.18E-10,-1.70E+01
-5.00E-10,-1.65E+01
-4.72E-10,-1.60E+01
-4.48E-10,-1.55E+01
-4.32E-10,-1.50E+01
-4.17E-10,-1.45E+01
-3.93E-10,-1.40E+01
-3.65E-10,-1.35E+01
-3.53E-10,-1.30E+01
-3.30E-10,-1.25E+01
-3.08E-10,-1.20E+01
-2.92E-10,-1.15E+01
-2.77E-10,-1.10E+01
-2.60E-10,-1.05E+01
-2.47E-10,-1.00E+01
-2.24E-10,-9.50E+00
-2.17E-10,-9.00E+00
-1.93E-10,-8.50E+00
-1.76E-10,-8.00E+00
-1.62E-10,-7.50E+00
-1.50E-10,-7.00E+00
-1.30E-10,-6.50E+00
-1.21E-10,-6.00E+00
-1.04E-10,-5.50E+00
-9.64E-11,-5.00E+00
-8.36E-11,-4.50E+00
-6.66E-11,-4.00E+00
-4.31E-11,-3.50E+00
-4.55E-11,-3.00E+00
-1.67E-11,-2.50E+00
-7.73E-12,-2.00E+00
2.8685E-12,-1.50E+00
19.6108E-12,-9.99E-01
34.8387E-12,-4.99E-01
46.9958E-12,1.0706E-3
62.7285E-12,500.4187E-3
74.7594E-12,1.0007E+0
87.4213E-12,1.5011E+0
106.6875E-12,2.0012E+0
122.8409E-12,2.4984E+0
134.9980E-12,2.9984E+0
