Time,AI,AV,SMU1_S,RES
23.4554E-3,756.8580E-12,30.0012E+0,001C0360,
116.5877E-3,675.5024E-12,30.0011E+0,001C0360,
209.7104E-3,643.8688E-12,30.0012E+0,001C0360,
302.8170E-3,613.9179E-12,30.0012E+0,001C0360,
395.9760E-3,606.5563E-12,30.0011E+0,001C0360,
489.0988E-3,596.6287E-12,30.0012E+0,001C0360,
582.2406E-3,585.1447E-12,30.0011E+0,001C0360,
675.3920E-3,573.1139E-12,30.0013E+0,001C0360,
768.5034E-3,570.9686E-12,30.0011E+0,001C0360,
861.6443E-3,560.4100E-12,30.0013E+0,001C0360,
954.7203E-3,561.2092E-12,30.0011E+0,001C0360,
1.0479E+0,555.6566E-12,30.0013E+0,001C0360,
1.1410E+0,554.1422E-12,30.0012E+0,001C0360,
1.2341E+0,550.3983E-12,30.0012E+0,001C0360,
1.3273E+0,542.0693E-12,30.0012E+0,001C0360,
1.4204E+0,546.4020E-12,30.0012E+0,001C0360,
1.5136E+0,544.0043E-12,30.0011E+0,001C0360,
1.6067E+0,543.6257E-12,30.0012E+0,001C0360,
1.6998E+0,530.9218E-12,30.0013E+0,001C0360,
1.7929E+0,534.4973E-12,30.0011E+0,001C0360,
1.8860E+0,532.4362E-12,30.0013E+0,001C0360,
1.9792E+0,529.8701E-12,30.0012E+0,001C0360,
2.0723E+0,524.4436E-12,30.0013E+0,001C0360,
2.1654E+0,525.2008E-12,30.0011E+0,001C0360,
2.2586E+0,525.5373E-12,30.0013E+0,001C0360,
2.3517E+0,530.3328E-12,30.0011E+0,001C0360,
2.4448E+0,527.2199E-12,30.0013E+0,001C0360,
2.5379E+0,519.6902E-12,30.0011E+0,001C0360,
2.6311E+0,528.3978E-12,30.0012E+0,001C0360,
2.7242E+0,511.1929E-12,30.0012E+0,001C0360,
2.8173E+0,522.3824E-12,30.0011E+0,001C0360,
2.9104E+0,520.5315E-12,30.0012E+0,001C0360,
3.0035E+0,519.0171E-12,30.0012E+0,001C0360,
3.0967E+0,520.8260E-12,30.0012E+0,001C0360,
3.1898E+0,517.3765E-12,30.0012E+0,001C0360,
3.2829E+0,511.9921E-12,30.0012E+0,001C0360,
3.3760E+0,513.5065E-12,30.0011E+0,001C0360,
3.4692E+0,506.1449E-12,30.0012E+0,001C0360,
3.5623E+0,507.6172E-12,30.0012E+0,001C0360,
3.6554E+0,512.8755E-12,30.0012E+0,001C0360,
3.7485E+0,514.8946E-12,30.0013E+0,001C0360,
3.8417E+0,516.7035E-12,30.0011E+0,001C0360,
3.9348E+0,507.0283E-12,30.0012E+0,001C0360,
4.0279E+0,504.0416E-12,30.0011E+0,001C0360,
4.1210E+0,510.6880E-12,30.0013E+0,001C0360,
4.2142E+0,512.2024E-12,30.0012E+0,001C0360,
4.3073E+0,508.8371E-12,30.0012E+0,001C0360,
4.4004E+0,513.6748E-12,30.0011E+0,001C0360,
4.4935E+0,508.6268E-12,30.0012E+0,001C0360,
4.5866E+0,501.8121E-12,30.0012E+0,001C0360,
4.6798E+0,513.9691E-12,30.0012E+0,001C0360,
4.7729E+0,511.5294E-12,30.0012E+0,001C0360,
4.8660E+0,510.6039E-12,30.0011E+0,001C0360,
4.9591E+0,507.6593E-12,30.0012E+0,001C0360,
5.0522E+0,510.8142E-12,30.0012E+0,001C0360,
5.1454E+0,506.2711E-12,30.0012E+0,001C0360,
5.2385E+0,509.3420E-12,30.0011E+0,001C0360,
5.3316E+0,506.3973E-12,30.0012E+0,001C0360,
5.4248E+0,504.8829E-12,30.0012E+0,001C0360,
5.5178E+0,503.7472E-12,30.0012E+0,001C0360,
5.6110E+0,500.9288E-12,30.0013E+0,001C0360,
5.7041E+0,501.0550E-12,30.0011E+0,001C0360,
5.7972E+0,502.9900E-12,30.0012E+0,001C0360,
5.8904E+0,505.3877E-12,30.0011E+0,001C0360,
5.9835E+0,503.4527E-12,30.0012E+0,001C0360,
6.0766E+0,506.3973E-12,30.0012E+0,001C0360,
6.1697E+0,505.1353E-12,30.0012E+0,001C0360,
6.2629E+0,495.9650E-12,30.0011E+0,001C0360,
6.3560E+0,499.3302E-12,30.0012E+0,001C0360,
6.4491E+0,504.9671E-12,30.0012E+0,001C0360,
6.5423E+0,501.7701E-12,30.0011E+0,001C0360,
6.6354E+0,503.5789E-12,30.0012E+0,001C0360,
6.7285E+0,502.7376E-12,30.0012E+0,001C0360,
6.8216E+0,498.3627E-12,30.0013E+0,001C0360,
6.9147E+0,508.6268E-12,30.0012E+0,001C0360,
7.0079E+0,496.7222E-12,30.0012E+0,001C0360,
7.1010E+0,500.2557E-12,30.0012E+0,001C0360,
7.1941E+0,495.7547E-12,30.0013E+0,001C0360,
7.2872E+0,499.0358E-12,30.0013E+0,001C0360,
7.3803E+0,497.5214E-12,30.0013E+0,001C0360,
7.4735E+0,499.6668E-12,30.0012E+0,001C0360,
7.5666E+0,501.6439E-12,30.0012E+0,001C0360,
