Time,AI,AV,SMU1_S,RES
23.4887E-3,-70.8313E-12,-1.0001E+0,001C0160,
116.5934E-3,-65.6992E-12,-1.0001E+0,001C0160,
209.7057E-3,-69.5693E-12,-1.0001E+0,001C0160,
302.8246E-3,-70.9995E-12,-1.0001E+0,001C0160,
395.9303E-3,-68.2232E-12,-1.0001E+0,001C0160,
489.0273E-3,-68.8962E-12,-1.0001E+0,001C0160,
582.1453E-3,-68.7700E-12,-1.0001E+0,001C0160,
675.2691E-3,-68.4335E-12,-1.0001E+0,001C0160,
768.3794E-3,-66.5826E-12,-1.0001E+0,001C0160,
861.5022E-3,-63.2173E-12,-1.0001E+0,001C0160,
954.5840E-3,-64.6055E-12,-1.0001E+0,001C0160,
1.0477E+0,-62.0815E-12,-1.0001E+0,001C0160,
1.1408E+0,-66.0778E-12,-1.0001E+0,001C0160,
1.2339E+0,-62.3760E-12,-1.0001E+0,001C0160,
1.3270E+0,-66.4564E-12,-1.0001E+0,001C0160,
1.4201E+0,-68.7700E-12,-1.0001E+0,001C0160,
1.5132E+0,-69.1066E-12,-1.0001E+0,001C0160,
1.6063E+0,-63.8483E-12,-1.0001E+0,001C0160,
1.6994E+0,-64.7738E-12,-1.0001E+0,001C0160,
1.7926E+0,-63.4276E-12,-1.0001E+0,001C0160,
1.8857E+0,-62.0395E-12,-1.0001E+0,001C0160,
1.9788E+0,-61.5767E-12,-1.0001E+0,001C0160,
2.0719E+0,-60.3568E-12,-1.0001E+0,001C0160,
2.1649E+0,-58.0853E-12,-1.0001E+0,001C0160,
2.2581E+0,-57.2019E-12,-1.0001E+0,001C0160,
2.3512E+0,-55.3930E-12,-1.0001E+0,001C0160,
2.4443E+0,-56.0661E-12,-1.0001E+0,001C0160,
2.5374E+0,-58.1273E-12,-1.0001E+0,001C0160,
2.6305E+0,-58.3376E-12,-1.0001E+0,001C0160,
2.7236E+0,-59.4314E-12,-1.0001E+0,001C0160,
2.8168E+0,-64.8579E-12,-1.0001E+0,001C0160,
2.9099E+0,-60.5671E-12,-1.0001E+0,001C0160,
3.0030E+0,-64.9000E-12,-1.0001E+0,001C0160,
3.0961E+0,-60.6933E-12,-1.0001E+0,001C0160,
3.1891E+0,-57.3281E-12,-1.0001E+0,001C0160,
3.2822E+0,-54.8041E-12,-1.0001E+0,001C0160,
3.3754E+0,-60.6513E-12,-1.0001E+0,001C0160,
3.4685E+0,-60.9878E-12,-1.0001E+0,001C0160,
3.5616E+0,-55.0986E-12,-1.0001E+0,001C0160,
3.6547E+0,-59.1369E-12,-1.0001E+0,001C0160,
3.7478E+0,-56.9495E-12,-1.0001E+0,001C0160,
3.8409E+0,-54.5096E-12,-1.0001E+0,001C0160,
3.9340E+0,-51.4388E-12,-1.0001E+0,001C0160,
4.0271E+0,-52.1960E-12,-1.0001E+0,001C0160,
4.1202E+0,-56.1081E-12,-1.0001E+0,001C0160,
4.2133E+0,-53.7524E-12,-1.0001E+0,001C0160,
4.3064E+0,-57.5384E-12,-1.0001E+0,001C0160,
4.3995E+0,-61.4505E-12,-1.0001E+0,001C0160,
4.4927E+0,-61.3243E-12,-1.0001E+0,001C0160,
4.5857E+0,-58.2535E-12,-1.0001E+0,001C0160,
4.6789E+0,-65.1944E-12,-1.0001E+0,001C0160,
4.7720E+0,-58.0011E-12,-1.0001E+0,001C0160,
4.8651E+0,-54.6779E-12,-1.0001E+0,001C0160,
4.9582E+0,-64.7317E-12,-1.0001E+0,001C0160,
5.0513E+0,-67.8867E-12,-1.0001E+0,001C0160,
5.1444E+0,-67.3398E-12,-1.0001E+0,001C0160,
5.2375E+0,-60.3148E-12,-1.0001E+0,001C0160,
5.3305E+0,-63.1752E-12,-1.0001E+0,001C0160,
5.4236E+0,-60.7775E-12,-1.0001E+0,001C0160,
5.5167E+0,-55.8137E-12,-1.0001E+0,001C0160,
5.6099E+0,-58.1694E-12,-1.0001E+0,001C0160,
5.7030E+0,-55.9819E-12,-1.0001E+0,001C0160,
5.7961E+0,-55.9399E-12,-1.0001E+0,001C0160,
5.8892E+0,-57.3281E-12,-1.0001E+0,001C0160,
5.9823E+0,-55.9819E-12,-1.0001E+0,001C0160,
6.0755E+0,-58.5480E-12,-1.0001E+0,001C0160,
6.1686E+0,-61.4926E-12,-1.0001E+0,001C0160,
6.2617E+0,-57.3281E-12,-1.0001E+0,001C0160,
6.3548E+0,-60.2306E-12,-1.0001E+0,001C0160,
6.4479E+0,-55.9819E-12,-1.0001E+0,001C0160,
6.5410E+0,-57.3701E-12,-1.0001E+0,001C0160,
6.6341E+0,-63.3435E-12,-1.0001E+0,001C0160,
6.7272E+0,-60.7354E-12,-1.0001E+0,001C0160,
6.8203E+0,-56.7812E-12,-1.0001E+0,001C0160,
6.9134E+0,-56.6550E-12,-1.0001E+0,001C0160,
7.0065E+0,-57.1598E-12,-1.0001E+0,001C0160,
7.0997E+0,-59.0528E-12,-1.0001E+0,001C0160,
7.1928E+0,-56.4026E-12,-1.0001E+0,001C0160,
7.2859E+0,-57.7908E-12,-1.0001E+0,001C0160,
7.3790E+0,-58.8004E-12,-1.0001E+0,001C0160,
7.4721E+0,-55.2248E-12,-1.0001E+0,001C0160,
7.5653E+0,-57.1598E-12,-1.0001E+0,001C0160,
7.6583E+0,-61.3243E-12,-1.0001E+0,001C0160,
7.7515E+0,-60.5671E-12,-1.0001E+0,001C0160,
7.8445E+0,-64.2269E-12,-1.0001E+0,001C0160,
7.9377E+0,-65.2786E-12,-1.0001E+0,001C0160,
