Time,AI,AV,SMU1_S,RES
23.3229E-3,152.6659E-12,5.0005E+0,001C0260,
116.4323E-3,142.1914E-12,5.0005E+0,001C0260,
209.5074E-3,135.0402E-12,5.0005E+0,001C0260,
302.6178E-3,128.0151E-12,5.0005E+0,001C0260,
395.7320E-3,130.2446E-12,5.0005E+0,001C0260,
488.8214E-3,126.4166E-12,5.0005E+0,001C0260,
581.9175E-3,121.5790E-12,5.0005E+0,001C0260,
675.0012E-3,119.0551E-12,5.0005E+0,001C0260,
768.0888E-3,116.9517E-12,5.0005E+0,001C0260,
861.2049E-3,118.0455E-12,5.0005E+0,001C0260,
954.3057E-3,126.3325E-12,5.0005E+0,001C0260,
1.0474E+0,123.8085E-12,5.0005E+0,001C0260,
1.1405E+0,121.3687E-12,5.0005E+0,001C0260,
1.2336E+0,114.7643E-12,5.0005E+0,001C0260,
1.3268E+0,119.6019E-12,5.0005E+0,001C0260,
1.4199E+0,117.5407E-12,5.0005E+0,001C0260,
1.5130E+0,114.3016E-12,5.0005E+0,001C0260,
1.6061E+0,119.4336E-12,5.0005E+0,001C0260,
1.6992E+0,116.6994E-12,5.0005E+0,001C0260,
1.7923E+0,113.9650E-12,5.0005E+0,001C0260,
1.8854E+0,116.1525E-12,5.0005E+0,001C0260,
1.9785E+0,123.4299E-12,5.0005E+0,001C0260,
2.0716E+0,116.4469E-12,5.0005E+0,001C0260,
2.1647E+0,115.9842E-12,5.0005E+0,001C0260,
2.2578E+0,121.3687E-12,5.0005E+0,001C0260,
2.3510E+0,122.2100E-12,5.0005E+0,001C0260,
2.4440E+0,118.2558E-12,5.0005E+0,001C0260,
2.5372E+0,119.5598E-12,5.0005E+0,001C0260,
2.6303E+0,119.2654E-12,5.0005E+0,001C0260,
2.7234E+0,122.5045E-12,5.0005E+0,001C0260,
2.8165E+0,120.2329E-12,5.0005E+0,001C0260,
2.9096E+0,120.1488E-12,5.0005E+0,001C0260,
3.0027E+0,116.2787E-12,5.0005E+0,001C0260,
3.0958E+0,120.2750E-12,5.0005E+0,001C0260,
3.1889E+0,116.3628E-12,5.0005E+0,001C0260,
3.2820E+0,117.1200E-12,5.0005E+0,001C0260,
3.3751E+0,117.5828E-12,5.0005E+0,001C0260,
3.4682E+0,117.9193E-12,5.0005E+0,001C0260,
3.5613E+0,122.7569E-12,5.0005E+0,001C0260,
3.6544E+0,123.2196E-12,5.0005E+0,001C0260,
3.7475E+0,120.1067E-12,5.0005E+0,001C0260,
3.8406E+0,119.3074E-12,5.0005E+0,001C0260,
3.9337E+0,118.1717E-12,5.0005E+0,001C0260,
4.0268E+0,118.0455E-12,5.0005E+0,001C0260,
4.1199E+0,118.6765E-12,5.0005E+0,001C0260,
4.2130E+0,119.2654E-12,5.0005E+0,001C0260,
4.3061E+0,120.7798E-12,5.0005E+0,001C0260,
4.3992E+0,117.7510E-12,5.0005E+0,001C0260,
4.4923E+0,118.6344E-12,5.0005E+0,001C0260,
4.5854E+0,123.6823E-12,5.0005E+0,001C0260,
4.6785E+0,117.4145E-12,5.0005E+0,001C0260,
4.7716E+0,113.7127E-12,5.0005E+0,001C0260,
4.8647E+0,118.7185E-12,5.0005E+0,001C0260,
4.9578E+0,122.5465E-12,5.0005E+0,001C0260,
5.0509E+0,120.3591E-12,5.0005E+0,001C0260,
5.1440E+0,117.1621E-12,5.0005E+0,001C0260,
5.2371E+0,114.0071E-12,5.0005E+0,001C0260,
5.3302E+0,115.7318E-12,5.0005E+0,001C0260,
5.4234E+0,114.6802E-12,5.0005E+0,001C0260,
5.5165E+0,118.4661E-12,5.0005E+0,001C0260,
5.6096E+0,113.1658E-12,5.0005E+0,001C0260,
5.7027E+0,119.1812E-12,5.0005E+0,001C0260,
5.7958E+0,125.2808E-12,5.0005E+0,001C0260,
5.8889E+0,122.5886E-12,5.0005E+0,001C0260,
5.9820E+0,122.1259E-12,5.0005E+0,001C0260,
6.0751E+0,122.9672E-12,5.0005E+0,001C0260,
6.1682E+0,121.4108E-12,5.0005E+0,001C0260,
6.2613E+0,122.9251E-12,5.0005E+0,001C0260,
6.3544E+0,127.9310E-12,5.0005E+0,001C0260,
6.4475E+0,122.7148E-12,5.0005E+0,001C0260,
6.5406E+0,118.0455E-12,5.0005E+0,001C0260,
6.6337E+0,122.3362E-12,5.0005E+0,001C0260,
6.7268E+0,119.3074E-12,5.0005E+0,001C0260,
6.8199E+0,126.2063E-12,5.0005E+0,001C0260,
6.9130E+0,125.1126E-12,5.0005E+0,001C0260,
7.0061E+0,122.2941E-12,5.0005E+0,001C0260,
7.0992E+0,120.5274E-12,5.0005E+0,001C0260,
7.1923E+0,121.7052E-12,5.0005E+0,001C0260,
7.2854E+0,121.0322E-12,5.0005E+0,001C0260,
7.3785E+0,122.5465E-12,5.0005E+0,001C0260,
7.4716E+0,116.8676E-12,5.0005E+0,001C0260,
7.5647E+0,121.4949E-12,5.0005E+0,001C0260,
7.6578E+0,125.8277E-12,5.0005E+0,001C0260,
7.7509E+0,120.7377E-12,5.0005E+0,001C0260,
7.8441E+0,119.1812E-12,5.0005E+0,001C0260,
7.9371E+0,119.0971E-12,5.0005E+0,001C0260,
8.0302E+0,125.3229E-12,5.0005E+0,001C0260,
8.1233E+0,125.3229E-12,5.0005E+0,001C0260,
8.2164E+0,122.0838E-12,5.0005E+0,001C0260,
8.3096E+0,125.0705E-12,5.0005E+0,001C0260,
8.4027E+0,119.9805E-12,5.0005E+0,001C0260,
8.4958E+0,120.6956E-12,5.0005E+0,001C0260,
8.5889E+0,121.4528E-12,5.0005E+0,001C0260,
8.6820E+0,126.2904E-12,5.0005E+0,001C0260,
8.7751E+0,123.0513E-12,5.0005E+0,001C0260,
8.8682E+0,116.1525E-12,5.0005E+0,001C0260,
8.9613E+0,118.8027E-12,5.0005E+0,001C0260,
9.0544E+0,118.1296E-12,5.0005E+0,001C0260,
9.1475E+0,118.9709E-12,5.0005E+0,001C0260,
9.2406E+0,118.5923E-12,5.0005E+0,001C0260,
9.3337E+0,117.3304E-12,5.0005E+0,001C0260,
9.4268E+0,119.5178E-12,5.0005E+0,001C0260,
9.5200E+0,118.8027E-12,5.0005E+0,001C0260,
9.6131E+0,121.7052E-12,5.0005E+0,001C0260,
9.7062E+0,115.7318E-12,5.0005E+0,001C0260,
9.7993E+0,116.8256E-12,5.0005E+0,001C0260,
9.8924E+0,112.6190E-12,5.0005E+0,001C0260,
9.9855E+0,116.1945E-12,5.0005E+0,001C0260,
10.0786E+0,120.9480E-12,5.0005E+0,001C0260,
10.1717E+0,115.8580E-12,5.0005E+0,001C0260,
10.2649E+0,116.4469E-12,5.0005E+0,001C0260,
10.3579E+0,115.5636E-12,5.0005E+0,001C0260,
10.4511E+0,115.5636E-12,5.0005E+0,001C0260,
10.5442E+0,113.3341E-12,5.0005E+0,001C0260,
10.6373E+0,109.7164E-12,5.0005E+0,001C0260,
10.7304E+0,118.8447E-12,5.0005E+0,001C0260,
10.8235E+0,121.5790E-12,5.0005E+0,001C0260,
10.9166E+0,117.1200E-12,5.0005E+0,001C0260,
11.0097E+0,118.2137E-12,5.0005E+0,001C0260,
11.1028E+0,116.1525E-12,5.0005E+0,001C0260,
11.1959E+0,120.8639E-12,5.0005E+0,001C0260,
11.2890E+0,115.6898E-12,5.0005E+0,001C0260,
11.3821E+0,121.6211E-12,5.0005E+0,001C0260,
11.4753E+0,120.1488E-12,5.0005E+0,001C0260,
11.5684E+0,116.6573E-12,5.0005E+0,001C0260,
11.6615E+0,115.9001E-12,5.0005E+0,001C0260,
11.7546E+0,118.9289E-12,5.0005E+0,001C0260,
11.8477E+0,128.6461E-12,5.0005E+0,001C0260,
11.9408E+0,120.6956E-12,5.0005E+0,001C0260,
12.0339E+0,121.7894E-12,5.0005E+0,001C0260,
12.1270E+0,123.0093E-12,5.0005E+0,001C0260,
12.2201E+0,122.8831E-12,5.0005E+0,001C0260,
12.3132E+0,117.4145E-12,5.0005E+0,001C0260,
12.4063E+0,123.3879E-12,5.0005E+0,001C0260,
12.4994E+0,118.5082E-12,5.0005E+0,001C0260,
12.5926E+0,123.2617E-12,5.0005E+0,001C0260,
12.6857E+0,118.0034E-12,5.0005E+0,001C0260,
12.7788E+0,122.8831E-12,5.0005E+0,001C0260,
12.8719E+0,117.9613E-12,5.0005E+0,001C0260,
