Sample ID,Type,Standoff,Spacing,AI,AV
DG-PCB001,both-away,7.5,step,-1.65e-09,-30.0
DG-PCB001,both-away,7.5,step,-1.53e-09,-29.5
DG-PCB001,both-away,7.5,step,-1.44e-09,-29.0
DG-PCB001,both-away,7.5,step,-1.36e-09,-28.5
DG-PCB001,both-away,7.5,step,-1.3e-09,-28.0
DG-PCB001,both-away,7.5,step,-1.23e-09,-27.5
DG-PCB001,both-away,7.5,step,-1.17e-09,-27.0
DG-PCB001,both-away,7.5,step,-1.13e-09,-26.5
DG-PCB001,both-away,7.5,step,-1.07e-09,-26.0
DG-PCB001,both-away,7.5,step,-1.02e-09,-25.5
DG-PCB001,both-away,7.5,step,-9.89e-10,-25.0
DG-PCB001,both-away,7.5,step,-9.44e-10,-24.5
DG-PCB001,both-away,7.5,step,-9.04e-10,-24.0
DG-PCB001,both-away,7.5,step,-8.76e-10,-23.5
DG-PCB001,both-away,7.5,step,-8.4e-10,-23.0
DG-PCB001,both-away,7.5,step,-8.15e-10,-22.5
DG-PCB001,both-away,7.5,step,-7.68e-10,-22.0
DG-PCB001,both-away,7.5,step,-7.44e-10,-21.5
DG-PCB001,both-away,7.5,step,-7.09e-10,-21.0
DG-PCB001,both-away,7.5,step,-6.93e-10,-20.5
DG-PCB001,both-away,7.5,step,-6.52e-10,-20.0
DG-PCB001,both-away,7.5,step,-6.31e-10,-19.5
DG-PCB001,both-away,7.5,step,-6.17e-10,-19.0
DG-PCB001,both-away,7.5,step,-5.77e-10,-18.5
DG-PCB001,both-away,7.5,step,-5.66e-10,-18.0
DG-PCB001,both-away,7.5,step,-5.34e-10,-17.5
DG-PCB001,both-away,7.5,step,-5.18e-10,-17.0
DG-PCB001,both-away,7.5,step,-5e-10,-16.5
DG-PCB001,both-away,7.5,step,-4.72e-10,-16.0
DG-PCB001,both-away,7.5,step,-4.48e-10,-15.5
DG-PCB001,both-away,7.5,step,-4.32e-10,-15.0
DG-PCB001,both-away,7.5,step,-4.17e-10,-14.5
DG-PCB001,both-away,7.5,step,-3.93e-10,-14.0
DG-PCB001,both-away,7.5,step,-3.65e-10,-13.5
DG-PCB001,both-away,7.5,step,-3.53e-10,-13.0
DG-PCB001,both-away,7.5,step,-3.3e-10,-12.5
DG-PCB001,both-away,7.5,step,-3.08e-10,-12.0
DG-PCB001,both-away,7.5,step,-2.92e-10,-11.5
DG-PCB001,both-away,7.5,step,-2.77e-10,-11.0
DG-PCB001,both-away,7.5,step,-2.6e-10,-10.5
DG-PCB001,both-away,7.5,step,-2.47e-10,-10.0
DG-PCB001,both-away,7.5,step,-2.24e-10,-9.5
DG-PCB001,both-away,7.5,step,-2.17e-10,-9.0
DG-PCB001,both-away,7.5,step,-1.93e-10,-8.5
DG-PCB001,both-away,7.5,step,-1.76e-10,-8.0
DG-PCB001,both-away,7.5,step,-1.62e-10,-7.5
DG-PCB001,both-away,7.5,step,-1.5e-10,-7.0
DG-PCB001,both-away,7.5,step,-1.3e-10,-6.5
DG-PCB001,both-away,7.5,step,-1.21e-10,-6.0
DG-PCB001,both-away,7.5,step,-1.04e-10,-5.5
DG-PCB001,both-away,7.5,step,-9.64e-11,-5.0
DG-PCB001,both-away,7.5,step,-8.36e-11,-4.5
DG-PCB001,both-away,7.5,step,-6.66e-11,-4.0
DG-PCB001,both-away,7.5,step,-4.31e-11,-3.5
DG-PCB001,both-away,7.5,step,-4.55e-11,-3.0
DG-PCB001,both-away,7.5,step,-1.67e-11,-2.5
DG-PCB001,both-away,7.5,step,-7.73e-12,-2.0
DG-PCB001,both-away,7.5,step,2.8685e-12,-1.5
DG-PCB001,both-away,7.5,step,1.96108e-11,-0.999
DG-PCB001,both-away,7.5,step,3.48387e-11,-0.499
DG-PCB001,both-away,7.5,step,4.69958e-11,0.0010706
DG-PCB001,both-away,7.5,step,6.27285e-11,0.5004187
DG-PCB001,both-away,7.5,step,7.47594e-11,1.0007
DG-PCB001,both-away,7.5,step,8.74213e-11,1.5011
DG-PCB001,both-away,7.5,step,1.066875e-10,2.0012
DG-PCB001,both-away,7.5,step,1.228409e-10,2.4984
DG-PCB001,both-away,7.5,step,1.34998e-10,2.9984
DG-PCB001,both-away,7.5,step,1.437057e-10,3.4987
DG-PCB001,both-away,7.5,step,1.640657e-10,3.9988
DG-PCB001,both-away,7.5,step,1.78284e-10,4.4993
DG-PCB001,both-away,7.5,step,1.850146e-10,4.9998
DG-PCB001,both-away,7.5,step,1.965407e-10,5.4997
DG-PCB001,both-away,7.5,step,2.108011e-10,6.0
DG-PCB001,both-away,7.5,step,2.35578e-10,6.4998
DG-PCB001,both-away,7.5,step,2.327175e-10,6.9999
DG-PCB001,both-away,7.5,step,2.619535e-10,7.5003
DG-PCB001,both-away,7.5,step,2.691888e-10,8.0007
DG-PCB001,both-away,7.5,step,2.815983e-10,8.5009
DG-PCB001,both-away,7.5,step,2.860573e-10,9.0011
DG-PCB001,both-away,7.5,step,3.066697e-10,9.5014
DG-PCB001,both-away,7.5,step,3.193736e-10,10.0017
DG-PCB001,both-away,7.5,step,3.366207e-10,10.5019
DG-PCB001,both-away,7.5,step,3.442347e-10,11.0024
DG-PCB001,both-away,7.5,step,3.582006e-10,11.5027
DG-PCB001,both-away,7.5,step,3.676655e-10,12.0029
DG-PCB001,both-away,7.5,step,3.861746e-10,12.5032
